loan_id|bought_home_before|credit_score|dti|is_insured|ltv|multi_borrowers|orig_rate|prop_type|purpose|state|delq
F105Q1260156|1|793|11|0|52|1|4.75|1-4 Fee simple|No cash-out refinance|others|0
F105Q1260157|1|761|19|0|62|1|4.875|1-4 Fee simple|No cash-out refinance|others|0
F105Q1260158|1|617|29|0|57|0|4.875|1-4 Fee simple|Cash-out refinance|others|0
F105Q1260159|1|672|4|0|56|0|4.875|1-4 Fee simple|No cash-out refinance|others|0
F105Q1260160|1|784|25|0|75|1|4.875|1-4 Fee simple|No cash-out refinance|others|0
F105Q1260161|1|661|47|0|56|1|4.625|1-4 Fee simple|No cash-out refinance|others|1
F105Q1260162|1|702|30|0|42|0|4.625|1-4 Fee simple|No cash-out refinance|CA|0
F105Q1260163|1|781|36|0|45|1|4.75|1-4 Fee simple|Cash-out refinance|others|0
F105Q1260164|1|622|20|0|56|0|4.75|1-4 Fee simple|No cash-out refinance|others|0
F105Q1260165|1|726|47|0|69|0|5.0|Planned unit development|Cash-out refinance|others|0
F105Q1260166|1|805|34|0|34|0|4.5|1-4 Fee simple|No cash-out refinance|others|0
F105Q1260167|1|739|34|0|30|0|4.75|1-4 Fee simple|No cash-out refinance|NY|0
F105Q1260168|1|802|31|0|55|0|4.75|1-4 Fee simple|Cash-out refinance|others|0
F105Q1260169|1|783|14|0|65|1|4.875|1-4 Fee simple|Purchase|others|0
F105Q1260170|1|794|16|0|20|1|4.875|1-4 Fee simple|No cash-out refinance|NY|0
F105Q1260206|1|800|27|0|45|0|5.625|1-4 Fee simple|No cash-out refinance|others|0
F105Q1260217|1|757|27|0|42|0|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1260220|1|792|21|0|20|0|5.125|1-4 Fee simple|Cash-out refinance|others|0
F105Q1260226|1|716|35|0|43|0|5.0|1-4 Fee simple|No cash-out refinance|TN|0
F105Q1260227|1|805|34|0|28|0|5.25|1-4 Fee simple|Purchase|others|0
F105Q1260229|0|768|28|0|32|0|5.0|1-4 Fee simple|No cash-out refinance|others|0
F105Q1260234|1|790|26|0|58|1|5.125|1-4 Fee simple|Cash-out refinance|others|0
F105Q1260245|0|770|33|0|48|0|4.875|1-4 Fee simple|Cash-out refinance|others|0
F105Q1260272|1|749|13|0|20|1|5.25|1-4 Fee simple|No cash-out refinance|WI|0
F105Q1260328|1|768|31|0|80|1|5.25|1-4 Fee simple|Cash-out refinance|NY|0
F105Q1260329|1|786|34|0|52|1|5.25|1-4 Fee simple|No cash-out refinance|NY|0
F105Q1260353|1|783|3|0|14|1|5.0|1-4 Fee simple|Cash-out refinance|others|0
F105Q1260384|1|783|12|0|28|1|5.125|1-4 Fee simple|No cash-out refinance|NY|0
F105Q1260391|1|702|34|0|37|1|6.0|1-4 Fee simple|No cash-out refinance|WI|0
F105Q1260428|1|695|36|0|29|1|5.5|1-4 Fee simple|Cash-out refinance|others|0
F105Q1260429|1|760|26|0|71|0|5.875|Condo|No cash-out refinance|NY|0
F105Q1260435|1|784|18|0|15|1|5.875|Manufactured housing|No cash-out refinance|WI|0
F105Q1260514|1|745|32|0|64|1|5.125|1-4 Fee simple|Cash-out refinance|others|0
F105Q1260516|1|735|34|0|68|1|4.875|Planned unit development|Cash-out refinance|others|0
F105Q1260521|1|788|999|0|32|1|5.0|1-4 Fee simple|No cash-out refinance|others|0
